CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Churn,Has_Revolving_Balance,Engagement_Score,Value_Score,Engagement_Band,Value_Band,Tenure_Band,Age_Band,Balance_Band,Product_Band,Retention_Priority,Cross_Sell_Opportunity,churn_probability,risk_band,best_model
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0,1,0.2952,0.2878,Low,Medium,25-36,41-50,5k-10k,5-6,Monitor,Low Priority,0.004850539631414465,Low,Gradient Boosting
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,1,0.2737,0.3863,Low,High,49+,60+,5k-10k,5-6,"High Value, At Risk",Low Priority,0.001606636230369163,Low,Gradient Boosting
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,0,0.1719,0.3175,Low,Medium,25-36,51-60,10k-20k,3-4,Monitor,Low Priority,0.013702983553884147,Low,Gradient Boosting
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,1,0.3246,0.3113,Low,Medium,25-36,31-40,5k-10k,5-6,Monitor,Low Priority,0.0009647885110227467,Low,Gradient Boosting
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,1,0.3027,0.268,Low,Medium,37-48,51-60,<2.5k,5-6,Monitor,Low Priority,0.005003746868976393,Low,Gradient Boosting
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0,1,0.3268,0.2682,Low,Medium,37-48,41-50,2.5k-5k,5-6,Monitor,Low Priority,0.0016388498531028411,Low,Gradient Boosting
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0,1,0.283,0.6373,Low,High,25-36,41-50,20k+,5-6,"High Value, At Risk",Low Priority,0.0043720535043043785,Low,Gradient Boosting
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,1,0.2223,0.3539,Low,High,25-36,41-50,10k-20k,3-4,"High Value, At Risk",Low Priority,0.019308390566264436,Low,Gradient Boosting
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0,1,0.2842,0.2133,Low,Low,49+,60+,2.5k-5k,1-2,Lower Priority,Low Priority,0.02195233564295928,Low,Gradient Boosting
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,1,0.3091,0.4243,Low,High,37-48,41-50,10k-20k,5-6,"High Value, At Risk",Low Priority,0.0030471234532071043,Low,Gradient Boosting
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0,1,0.3236,0.4926,Low,High,37-48,41-50,20k+,5-6,"High Value, At Risk",Low Priority,0.0038945258163906333,Low,Gradient Boosting
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,1,0,0.2034,0.1675,Low,Low,49+,60+,<2.5k,1-2,Lower Priority,Low Priority,0.9902568392041926,High,Gradient Boosting
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0,1,0.2796,0.2323,Low,Low,25-36,41-50,2.5k-5k,3-4,Lower Priority,Low Priority,0.05274313874666572,Low,Gradient Boosting
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,1,0.2459,0.1901,Low,Low,25-36,41-50,<2.5k,3-4,Lower Priority,Low Priority,0.0719981879652099,Low,Gradient Boosting
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0,0,0.2572,0.3523,Low,High,37-48,51-60,10k-20k,3-4,"High Value, At Risk",Low Priority,0.05055638253452636,Low,Gradient Boosting
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,1,0.3086,0.3183,Low,Medium,25-36,41-50,5k-10k,5-6,Monitor,Low Priority,0.010246547066307685,Low,Gradient Boosting
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0,1,0.3139,0.3943,Low,High,37-48,51-60,10k-20k,3-4,"High Value, At Risk",Low Priority,0.0023368634256776713,Low,Gradient Boosting
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0,1,0.3034,0.3391,Low,Medium,49+,60+,10k-20k,3-4,Monitor,Low Priority,0.026448566639457126,Low,Gradient Boosting
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,0,0.2652,0.3345,Low,Medium,25-36,41-50,10k-20k,5-6,Monitor,Low Priority,0.09783357732811085,Low,Gradient Boosting
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0,1,0.4155,0.3043,Medium,Medium,37-48,41-50,2.5k-5k,5-6,Lower Priority,Low Priority,0.014818268143167957,Low,Gradient Boosting
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0,1,0.2659,0.1867,Low,Low,25-36,51-60,2.5k-5k,3-4,Lower Priority,Low Priority,0.022849425223057523,Low,Gradient Boosting
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0,1,0.2124,0.1936,Low,Low,37-48,51-60,<2.5k,1-2,Lower Priority,Low Priority,0.011189674140088325,Low,Gradient Boosting
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0,1,0.3239,0.3064,Low,Medium,25-36,41-50,5k-10k,3-4,Monitor,Low Priority,0.003663194274069457,Low,Gradient Boosting
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,1,0.2806,0.2503,Low,Low,37-48,51-60,2.5k-5k,5-6,Lower Priority,Low Priority,0.0020875139577528974,Low,Gradient Boosting
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0,1,0.2849,0.4221,Low,High,49+,51-60,10k-20k,5-6,"High Value, At Risk",Low Priority,0.005601233515269319,Low,Gradient Boosting
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,1,0.3516,0.233,Low,Low,25-36,51-60,2.5k-5k,3-4,Lower Priority,Low Priority,0.019265013309521305,Low,Gradient Boosting
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,1,0.312,0.2843,Low,Medium,25-36,51-60,2.5k-5k,5-6,Monitor,Low Priority,0.004782939248693387,Low,Gradient Boosting
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0,0,0.2237,0.3312,Low,Medium,25-36,41-50,10k-20k,1-2,Monitor,Low Priority,0.23955549640412196,Low,Gradient Boosting
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0,1,0.2649,0.2341,Low,Low,49+,51-60,2.5k-5k,3-4,Lower Priority,Low Priority,0.016023334604171335,Low,Gradient Boosting
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,1,1,0.1703,0.3392,Low,Medium,49+,60+,5k-10k,5-6,Monitor,Low Priority,0.9686584655453278,High,Gradient Boosting
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0,1,0.2915,0.564,Low,High,37-48,41-50,20k+,1-2,"High Value, At Risk",High Potential,0.7784540863183735,High,Gradient Boosting
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0,1,0.3627,0.2813,Medium,Medium,37-48,51-60,5k-10k,3-4,Lower Priority,Low Priority,0.0027079068285278517,Low,Gradient Boosting
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0,1,0.2997,0.4059,Low,High,37-48,41-50,10k-20k,3-4,"High Value, At Risk",Low Priority,0.01671457973326746,Low,Gradient Boosting
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0,0,0.3305,0.2705,Low,Medium,37-48,41-50,2.5k-5k,5-6,Monitor,Low Priority,0.021791273179309456,Low,Gradient Boosting
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0,1,0.2276,0.2451,Low,Low,25-36,31-40,5k-10k,1-2,Lower Priority,Low Priority,0.3518838724929425,Medium,Gradient Boosting
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0,0,0.2812,0.602,Low,High,25-36,41-50,20k+,3-4,"High Value, At Risk",Low Priority,0.015538782486208505,Low,Gradient Boosting
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0,1,0.3343,0.2884,Low,Medium,37-48,51-60,<2.5k,5-6,Monitor,Low Priority,0.0033145630653633623,Low,Gradient Boosting
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0,1,0.3005,0.229,Low,Low,49+,51-60,2.5k-5k,3-4,Lower Priority,Low Priority,0.0026316850561254445,Low,Gradient Boosting
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0,1,0.241,0.4449,Low,High,37-48,41-50,10k-20k,3-4,"High Value, At Risk",Low Priority,0.00691279040105573,Low,Gradient Boosting
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0,1,0.3723,0.2768,Medium,Medium,37-48,51-60,2.5k-5k,5-6,Lower Priority,Low Priority,0.0042124679079298625,Low,Gradient Boosting
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,1,0.2778,0.2879,Low,Medium,37-48,51-60,2.5k-5k,5-6,Monitor,Low Priority,0.00410433556618675,Low,Gradient Boosting
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,1,1,0.2445,0.1516,Low,Low,37-48,51-60,<2.5k,1-2,Lower Priority,Low Priority,0.9776655914685699,High,Gradient Boosting
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,1,0.2659,0.2444,Low,Low,49+,60+,2.5k-5k,3-4,Lower Priority,Low Priority,0.004706218193878092,Low,Gradient Boosting
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0,1,0.3482,0.4449,Low,High,25-36,41-50,10k-20k,3-4,"High Value, At Risk",Low Priority,0.09057799481216906,Low,Gradient Boosting
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,1,0,0.1992,0.3046,Low,Medium,25-36,51-60,10k-20k,1-2,Monitor,Low Priority,0.9896287936552243,High,Gradient Boosting
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0,1,0.2338,0.2744,Low,Medium,25-36,41-50,2.5k-5k,5-6,Monitor,Low Priority,0.037598652746065594,Low,Gradient Boosting
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0,1,0.3586,0.1718,Low,Low,25-36,41-50,2.5k-5k,1-2,Lower Priority,Low Priority,0.17071287283140432,Low,Gradient Boosting
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0,1,0.2833,0.2705,Low,Medium,49+,51-60,2.5k-5k,3-4,Monitor,Low Priority,0.0022059338727736925,Low,Gradient Boosting
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,1,0.322,0.2663,Low,Low,25-36,41-50,5k-10k,3-4,Lower Priority,Low Priority,0.0025779137001133647,Low,Gradient Boosting
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0,1,0.2068,0.2232,Low,Low,25-36,41-50,2.5k-5k,3-4,Lower Priority,Low Priority,0.011209373583213887,Low,Gradient Boosting
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0,1,0.2872,0.2465,Low,Low,37-48,51-60,2.5k-5k,3-4,Lower Priority,Low Priority,0.013814107840211004,Low,Gradient Boosting
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,1,0,0.1509,0.5737,Low,High,25-36,41-50,20k+,1-2,"High Value, At Risk",High Potential,0.9917117464820294,High,Gradient Boosting
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0,1,0.2454,0.2825,Low,Medium,25-36,31-40,5k-10k,5-6,Monitor,Low Priority,0.004817937657928768,Low,Gradient Boosting
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0,1,0.223,0.4402,Low,High,25-36,41-50,20k+,1-2,"High Value, At Risk",High Potential,0.24452656095725273,Low,Gradient Boosting
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0,1,0.2823,0.3916,Low,High,37-48,51-60,10k-20k,3-4,"High Value, At Risk",Low Priority,0.004009672232638182,Low,Gradient Boosting
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0,1,0.3051,0.6388,Low,High,37-48,51-60,20k+,3-4,"High Value, At Risk",Low Priority,0.00563149860601471,Low,Gradient Boosting
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0,1,0.2637,0.3257,Low,Medium,49+,51-60,5k-10k,5-6,Monitor,Low Priority,0.007845120699700763,Low,Gradient Boosting
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0,1,0.2419,0.2313,Low,Low,0-24,41-50,<2.5k,5-6,Lower Priority,Low Priority,0.041985188867363896,Low,Gradient Boosting
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0,1,0.2744,0.1562,Low,Low,25-36,41-50,<2.5k,1-2,Lower Priority,Low Priority,0.012118843081962524,Low,Gradient Boosting
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0,1,0.2536,0.5613,Low,High,37-48,41-50,20k+,5-6,"High Value, At Risk",Low Priority,0.6436650291240985,Medium,Gradient Boosting
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0,1,0.3159,0.6252,Low,High,37-48,51-60,20k+,3-4,"High Value, At Risk",Low Priority,0.002805833759077509,Low,Gradient Boosting
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0,1,0.2698,0.2539,Low,Low,37-48,51-60,<2.5k,5-6,Lower Priority,Low Priority,0.021682874609285273,Low,Gradient Boosting
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0,1,0.26,0.2351,Low,Low,37-48,51-60,2.5k-5k,3-4,Lower Priority,Low Priority,0.021230957454781332,Low,Gradient Boosting
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0,1,0.3145,0.5374,Low,High,37-48,41-50,20k+,5-6,"High Value, At Risk",Low Priority,0.021007793484952898,Low,Gradient Boosting
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0,1,0.2358,0.4762,Low,High,25-36,41-50,20k+,3-4,"High Value, At Risk",Low Priority,0.0024135874155913634,Low,Gradient Boosting
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0,1,0.2742,0.2789,Low,Medium,25-36,51-60,5k-10k,5-6,Monitor,Low Priority,0.009368602638415276,Low,Gradient Boosting
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0,1,0.2123,0.3236,Low,Medium,25-36,41-50,5k-10k,5-6,Monitor,Low Priority,0.03498041051885273,Low,Gradient Boosting
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0,1,0.3211,0.2815,Low,Medium,25-36,31-40,5k-10k,3-4,Monitor,Low Priority,0.04293384589061238,Low,Gradient Boosting
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,0,1,0.319,0.2605,Low,Low,25-36,41-50,2.5k-5k,5-6,Lower Priority,Low Priority,0.005174480676012424,Low,Gradient Boosting
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0,1,0.2801,0.6163,Low,High,37-48,41-50,20k+,5-6,"High Value, At Risk",Low Priority,0.009315356066166,Low,Gradient Boosting
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0,1,0.2975,0.3014,Low,Medium,37-48,41-50,5k-10k,3-4,Monitor,Low Priority,0.0011325814978802734,Low,Gradient Boosting
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0,1,0.3034,0.6903,Low,High,25-36,41-50,20k+,5-6,"High Value, At Risk",Low Priority,0.008900817495533285,Low,Gradient Boosting
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,1,0,0.1585,0.1685,Low,Low,37-48,51-60,<2.5k,1-2,Lower Priority,Low Priority,0.9915679532583452,High,Gradient Boosting
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0,1,0.2206,0.2923,Low,Medium,49+,51-60,10k-20k,1-2,Monitor,Low Priority,0.40324764775587696,Medium,Gradient Boosting
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0,1,0.2314,0.6633,Low,High,25-36,51-60,20k+,5-6,"High Value, At Risk",Low Priority,0.002301165424490562,Low,Gradient Boosting
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,0,1,0.3171,0.274,Low,Medium,37-48,51-60,2.5k-5k,5-6,Monitor,Low Priority,0.0037610766500745223,Low,Gradient Boosting
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,0,1,0.3177,0.4304,Low,High,25-36,51-60,10k-20k,3-4,"High Value, At Risk",Low Priority,0.00650735212550307,Low,Gradient Boosting
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0,0,0.2873,0.2601,Low,Low,25-36,41-50,2.5k-5k,5-6,Lower Priority,Low Priority,0.16670019750510529,Low,Gradient Boosting
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0,1,0.2453,0.3446,Low,Medium,25-36,41-50,10k-20k,3-4,Monitor,Low Priority,0.00255861489581898,Low,Gradient Boosting
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0,0,0.2517,0.2986,Low,Medium,37-48,51-60,5k-10k,5-6,Monitor,Low Priority,0.012880005200759805,Low,Gradient Boosting
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0,0,0.277,0.2895,Low,Medium,25-36,51-60,5k-10k,3-4,Monitor,Low Priority,0.03629601802977988,Low,Gradient Boosting
